movieId,genome_tags_top20
47,serial killer|police investigation|powerful ending|great ending|detective|dark|surprise ending|crime|imdb top 250|great acting|twists & turns|twist ending|suspenseful|psychological|murder|investigation|thriller|grim|violence|twist
48,disney animated feature|native americans|animation|indians|cartoon|talking animals|disney|animals|story|love story|animated|kids and family|stereotypes|fairy tale|musical|romance|family|kids|good|oscar (best music - original song)
49,lesbian|love story|beautifully filmed|nudity (topless - notable)|love|relationships|passionate|sexy|erotic|women|nudity (topless)|romance
50,oscar (best supporting actor)|plot twist|surprise ending|twists & turns|great ending|twist ending|complicated|imdb top 250|storytelling|crime|excellent script|great acting|complicated plot|con men|cerebral|twist|complex|oscar (best writing - screenplay written directly for the screen)|masterpiece|intellectual
52,adoption|oscar (best supporting actress)|parenthood|independent film|original
53,independent film|criterion
54,kids|kids and family|sports|children|disney|teacher|family|underdog|childhood
55,sisters|musicians|addiction|music|relationships|independent film|good soundtrack|character study|rock and roll|drug addiction
56,kids|original
57,dysfunctional family|robert downey jr|off-beat comedy|drama|holiday|family
58,beautiful scenery|beautifully filmed|melancholic|love story|mentor|poetry|scenic|island|cinematography|friendship|relationships|romantic|oscar (best supporting actress)|beautiful|affectionate|touching|unlikely friendships
59,storytelling|criterion|enigmatic|oscar (best foreign language film)|foreign|hitchcock
60,based on a book|indians|based on book|magic|fantasy|adapted from:book|childhood|native americans|fantasy world|family|books|kids
61,vigilante|vigilantism|rape|vengeance|revenge|justice|brutality|murder|lawyers
62,music|musicians|mentor|teacher|classical music|inspirational|sentimental|feel-good|good music|rock and roll|drama|feel good movie|touching|emotional|inspiring|musical|high school|sappy|life|oscar
63,spoof|parody|comedy|funniest movies|hilarious|funny|goofy|funny as hell|silly fun|very funny|stupidity|stupid|saturday night live|satire
65,stupid|idiotic|goofy|stupidity|dumb|dumb but funny|silly fun|comedy|silly|stupid as hell|so bad it's funny|hilarious|absurd|good soundtrack|original|ridiculous
66,virtual reality|scifi|future|bad acting|horrible|original|bad plot|technology|futuristic|crappy sequel|sci fi|sci-fi|special effects|predictable
67,coming of age|life & death|mentor|solitude
68,relationships|lesbian|sexual|women|sexuality|nudity (topless - notable)|sexy|nudity (full frontal - notable)|adultery|infidelity|erotic|intimate|love triangles|spanish|cheating
69,comedy|weed|funny|funniest movies|chris tucker|hilarious|very funny|marijuana|funny as hell|awesome soundtrack|stoner movie|original|quotable|highly quotable|friendship|slackers
70,splatter|vampires|cult classic|bloody|violence|vampire|gratuitous violence|gory|horror|action|violent|sexualized violence|tarantino|cult film|gore|brutality|cool|strippers|blood|brothers
71,notable nudity|chase|action|car chase|good action|bad plot|bad acting|gunfight
72,college|dialogue driven|talky|criterion|dialogue|witty|drinking|relationships|independent film|intellectual|slackers|original
73,adapted from:book|world war ii|based on a book|beautifully filmed|jewish|france|jews|story|adaptation|storytelling|based on book|original
74,chick flick|romantic|love story|romantic comedy|romance|happy ending|sappy|sweet|feel-good
75,bullying|childhood|arnold
76,scifi|sci-fi|futuristic|robots|sci fi|science fiction|future|cyberpunk|robot|technology|philip k. dick|androids|post apocalyptic|special effects|artificial intelligence|original|virtual reality|cyborgs|post-apocalyptic|intelligent sci-fi
77,music|musicians|documentary|artist|drug abuse
78,guilt|vengeance|redemption|independent film|death|revenge
79,mafia|tom clancy|thriller|surveillance|mob|suspense|murder|betrayal
80,children|iran|childhood|money|greed|runaway|foreign|criterion
81,crime gone awry|organized crime|gangster|gangsters|hit men|mob|stylish|hitman|crime|mafia|assassin|violence|violent|cool|ensemble cast|original|neo-noir|friendship|great ending|dialogue
82,oscar (best foreign language film)|women|relationships|intellectual|reflective|parenthood|foreign|life & death|beautifully filmed|beautiful scenery
83,segregation|visually appealing|based on a book
84,unusual plot structure|independent film
85,male nudity|secrets|incest|period piece|costume drama|erotic|nudity (full frontal - notable)|visually stunning|19th century|nudity (topless - notable)|beautifully filmed|enigmatic|stunning|18th century|visually appealing
86,coming of age|mentor|adventure|based on true story|coming-of-age|friendship|good soundtrack|courage
87,single father|kids and family|family|hotel|kids
88,comedy|saturday night live|funny|very funny|hilarious|funny as hell|funniest movies|goofy
89,conspiracy|suspense|assassination|tense|kidnapping|chase|thriller|hostage|suspenseful|secret service|los angeles|assassin|corruption|california|plot holes|original|murder
90,runaway
92,irish accent|original
93,vampires|vampire|comedy|horror
94,small town|coming of age|friendship|relationships|mentor|good soundtrack|adolescence|ensemble cast|drama|midlife crisis|feel-good|unlikely friendships|original|great|drinking|independent film|great movie|melancholic
95,action|action packed|good action|gunfight|explosions|chase|big budget|weapons|betrayal|desert|fight scenes|vengeance|lone hero
96,shakespeare|ensemble cast|christmas|love|dysfunctional family|original
97,social commentary|powerful ending|criterion|bleak|black and white|french|violence|foreign|brutality|gritty|harsh|reflective|france|paris|imdb top 250|grim|independent film|existentialism|violent|race issues
98,independent film|original|shopping|pointless
99,prostitution|pornography|greed|los angeles|california|marijuana|documentary
100,political corruption|world politics|corruption|politics|political|investigation|conspiracy|mentor|new york city|drama|undercover cop
101,independent film|heist|quirky|humorous|off-beat comedy|crime gone awry|crime|unlikely friendships|good soundtrack|original|criterion|friendship|deadpan|affectionate|eccentricity|robbery|great soundtrack|talky|caper|dark humor
102,comedy|horrible|original|funny
103,murder mystery|thriller|murder|twists & turns|suspense|surprise ending|chase
104,golf|comedy|sports|goofy|hilarious|funniest movies|saturday night live|very funny|funny|dumb|mentor|funny as hell|stupidity|silly fun|pg-13|fun movie|underdog|original
105,love story|romantic|romance|bittersweet|adultery|chick flick|sentimental|passionate|relationships|love|touching|adapted from:book|melancholic|emotional|infidelity|heartbreaking|loneliness
106,german|germany|life philosophy|voodoo
107,muppets|treasure hunt|treasure|fun movie|adventure|island|puppets|pirates|original|childhood|kids
108,grindhouse|hip hop|fashion
110,historical|history|oscar (best picture)|oscar (best directing)|courage|epic|imdb top 250|us history|factual|oscar (best cinematography)|scotland|medieval|oscar winner|violence|great acting|great movie|freedom|dramatic|oscar|england
111,loneliness|masterpiece|character study|golden palm|imdb top 250|violent|insanity|grim|social commentary|dark|obsession|new york|visceral|new york city|great acting|bleak|paranoid|anti-hero|powerful ending|vigilantism
112,martial arts|kung fu|fight scenes|hong kong|action|good action|fighting|action packed|gangs|original|chase
113,family drama|family|drama
114,mining|canada|story|love story|beautiful scenery|small town
115,relationships|women|spanish|criterion|wine|oscar (best foreign language film)|intimate|melancholic|life|friendship|movielens top pick|france
116,holocaust|jews|poland|anti-semitism|world war ii|germany|nazis|documentary|wartime|wwii|intimate|death
117,true story|based on a true story|based on true story|murder|dark|original|black comedy|disturbing|insanity|stylish|vengeance|narrated|serial killer|harsh|brutality|grim|psychiatrist
118,independent film|romantic comedy|relationships|romantic|good soundtrack|mentor
119,lawyer
120,australia|teacher|australian|race|feel-good|hawaii|children|school|based on true story|high school|story|kids|original|predictable|good
121,child abuse|sexual abuse|disturbing|corruption|pornography
122,nudity (topless - brief)|comedy|sexy|romance|funny|original|funny as hell
123,loneliness|love|criterion|notable soundtrack|melancholic|wuxia|obsession|enigmatic|hong kong|stylized|melancholy|cinematography|reflective|intimate|visually appealing|meditative|relationships|storytelling|foreign|visual
124,beautifully filmed|loneliness|rome
125,adoption|ensemble cast|independent film|comedy|funny|screwball comedy|humorous|hilarious|original|very funny|weird|funniest movies|parenthood|farce
126,magic|fantasy world|fantasy|original|dragons
127,women|culture clash
128,homeless|drugs|documentary|obsession|biography|new jersey|narrated|melancholic
129,romance|love|nudity (topless - notable)|romantic
131,ireland|irish accent|irish|based on true story|happy ending
132,sex|murder|san francisco|sexual|murder mystery|erotic|sexy|investigation|chase|pornography|detective|voyeurism|original
135,submarine|comedy|hilarious|silly|silly fun|goofy|humorous|fun movie|funniest movies|farce
136,documentary|women|life
137,gay|aids|independent film|documentary
138,based on a book|books|book
140,love story|romantic|romance|chick flick|mentor|romantic comedy|journalism|love|justice|destiny
141,cross dressing|gay|gay character|homosexuality|homophobia|comedy|queer|oscar (best directing)|stereotypes|hilarious|remake|funny|original|farce
144,irish|independent film|relationships|love|brothers|ireland|happy ending|original|dialogue
145,good action|action|action packed|buddy movie|comedy|gunfight|car chase|chase|explosions|police|fast paced|fight scenes|detective|vengeance|big budget
146,family|kids|china|adventure|cute|cute!
147,drug abuse|drug addiction|addiction|drugs|mentor|heroin|based on a book|based on true story|great acting|true story|based on a true story|good soundtrack|school|pornography|powerful ending|intense|harsh|weed|adolescence|brutality
148,weird|nudity (topless - notable)|original
149,independent film|quirky|hit men|deadpan|amnesia|stylized|original|pornography|enigmatic|gangsters|off-beat comedy|cerebral|weird|crime gone awry|memory loss|redemption|very interesting|dialogue|talky|melancholic
150,space program|astronauts|nasa|space travel|space|true story|dramatic|courage|based on true story|based on a true story|drama|historical|tense|mars|history|great acting|moon|oscar winner|catastrophe|factual
151,sword fight|18th century|sword fighting|scotland|beautiful scenery|historical|passionate|period piece|irish accent|betrayal|great acting|vengeance|courage|rape|scenic|sexualized violence
152,vampires|vampire|addiction|goth|drug addiction|drug abuse|immortality|blood|new york|philosophical|independent film|cult film|life & death|nocturnal
153,batman|dark hero|super-hero|vigilante|franchise|super hero|superhero|alter ego|comic book|superheroes|dc comics|action|adapted from:comic|big budget
154,sexual|enigmatic|criterion|obsession|fantasy|surreal|adultery|surrealism|imagination|intimate|erotic|weird|prostitution|stylized|sexy|dreams|pornography|sex|visually appealing|sexuality
155,world politics|civil war
156,independent film|new york city
157,satire|politics|satirical|military|sarcasm|canada|political|president|comedy|original|stereotypes|iraq|parody|weapons
158,ghosts|children|family|childhood|afterlife|cute|supernatural|kids|cartoon|special effects|cute!|fun movie|adapted from:comic|father daughter relationship|kids and family|sweet
159,drugs|crime|drug addiction|addiction|good soundtrack|mentor|hip hop|murder|drinking|drug abuse|gangsters|gangster|gritty|original|police investigation|brutality|violent|harsh
160,jungle|based on a book|adapted from:book|adventure|big budget|special effects|so bad it's funny|action|silly|africa|bad cgi|based on book|books|natural disaster
161,tom clancy|tense|submarine|military|cold war|weapons|claustrophobic|war|russia|nuclear war|thriller|nuclear|intense|action|great acting|suspense|dramatic|forceful|russian|good action
162,artistic|art|obsession|documentary|artist|eccentricity|intimate|criterion|dysfunctional family|very interesting|sexual|original|interesting|weird|disturbing|enigmatic|insanity|cynical|pornography|mental illness
163,action|violence|stylish|gunfight|good action|vengeance|revenge|action packed|violent|hitman|cool|brutality|realistic action|organized crime|bloody|guns|vigilante|original|weapons|fight scenes
164,neo-noir|los angeles|based on a book|noir|film noir|murder|twists & turns|noir thriller|political corruption|detective|segregation|murder mystery|stylized|runaway|corruption|nocturnal|original|investigation|based on book|suspense
165,action|lone hero|vengeance|action packed|good action|gunfight|chase|sequel|explosions|good sequel|violence|race issues|car chase|new york city|franchise|fun movie|revenge|fast paced|heist|original
166,sex|violence|sexual|surreal|cult film|splatter|surrealism|weird|pornography|pointless|queer|brutality
167,beautifully filmed|death|wartime
168,medieval|love story|chick flick|romance|king arthur|romantic|betrayal|sword fighting|big budget|period piece|destiny|mythology|historical
169,family|adventure|sequels|original|predictable|oil
170,hacking|geeks|hackers|cyberpunk|awesome soundtrack|internet|technology|computers|geek|cool|secret service|virtual reality|fun movie|good soundtrack|teen movie|cheesy
171,gay character|gay|aids|queer|homosexuality|glbt|homophobia|stereotypes
172,cyberpunk|dystopic future|future|futuristic|sci-fi|scifi|technology|virtual reality|dystopia|sci fi|cyborgs|science fiction|post apocalyptic|internet|hackers|memory|post-apocalyptic|bad acting|original|visually appealing
173,based on a comic|futuristic|adapted from:comic|future|sci-fi|dystopia|cyborgs|scifi|cyberpunk|super hero|action|comic book|big budget|good action|based on comic|dystopic future|superheroes|technology|comics|superhero
174,comedy|idiotic|funny|stupid
175,controversial|drugs|pornography|golden palm|drug abuse|teen|adolescence|sexual|teenagers|good soundtrack|disturbing|drinking|sexualized violence|weed|teens|awesome soundtrack|brutality|kids|sex|nudity (full frontal)
176,independent film|indie|dreams|low budget|original|excellent script
177,dark fantasy|supernatural|horror|demons|devil|cult|nudity (full frontal - brief)|magic|splatter|fantasy world|creepy
178,gay|relationships|gay character|love|lesbian|homosexuality|loneliness|serial killer|sexual|sexuality|pornography
179,love|love story|romance|original|teen movie|romantic|nudity (topless - brief)|relationships
180,view askew|jay and silent bob|comedy|new jersey|slackers|funny|teen|awesome soundtrack|hilarious|crude humor|original|dialogue|very funny|cult film|great movie|quotable|good dialogue|funny as hell|great dialogue|independent film
181,ninja|based on a tv show|original|mentor|nostalgic
182,relationships|chick flick|women|friendship|life philosophy
183,suspenseful|chase|thriller|suspense|murder|tense|twists & turns|undercover cop|great ending|russia
184,vampire|vampires|goth|new york|eccentricity|immortality|stylized|original|weird|pretentious|dialogue|art house|blood|stylish
185,internet|chase|hacking|conspiracy|technology|hackers|computers|identity|virus|paranoia|first contact|espionage|thriller|catastrophe|action|natural disaster
186,comedy|pregnancy|chick flick|romantic comedy|parenthood|arnold|funny
187,fun movie|independent film|indie
188,devil|god|religion|biblical|catholicism|christianity|demons|mythology|supernatural|original|christian
189,christmas|hit men|original
190,environment|independent film|social commentary|enigmatic|loneliness|criterion|existentialism|weird|allegory|obsession|isolation|melancholic|intimate|solitude
191,based on a book|adapted from:book|based on book|adaptation|book|adultery|books|love story|literature|book was better|happy ending
192,hip hop|documentary
193,nudity (topless)|erotic|nudity (topless - brief)|strippers|pornography|sexual|nudity (topless - notable)|sexy|controversial|sexualized violence|camp|las vegas|horrible|bad acting|nudity|nudity (full frontal - notable)|so bad it's funny|nudity (full frontal)|dancing|pointless
194,independent film|oscar (best supporting actor)|storytelling|ensemble cast|father son relationship|original|unlikely friendships|great ending|good soundtrack|new york|multiple storylines|mentor|dialogue|new york city|interesting|great movie|great acting|drama|complex|imdb top 250
195,sisters|women|family|dysfunctional family|natural disaster|infidelity|divorce|adultery
196,alien|aliens|sci-fi|first contact|alien invasion|scifi|science fiction|sci fi|space|special effects|chase|big budget|los angeles|nudity (topless - notable)|silly|monster|transformation|fun movie|erotic|genetics
197,oil|1930s|small town|texas|original
198,cyberpunk|future|futuristic|virtual reality|science fiction|sci-fi|scifi|sci fi|dystopia|technology|memory|los angeles|violence|dystopic future|cerebral|pornography|original|police corruption|brutality|complex
199,golden palm|bittersweet|romantic|melancholic|music|beautifully filmed|musical|love|criterion|stylized|wistful|love story|lyrical|passionate|melancholy|french|colourful|stunning|cinematography|dialogue
200,adoption
201,dog|sentimental|feel-good|family|kids and family|nostalgic|destiny|cancer
202,gay character|mentor|biographical|gay|homosexuality|poetry|obsession|relationships|artist|writers|insanity|passionate|love|love story|literature|original|artistic|homophobia
203,cross dressing|small town|homophobia|gay|queer|women|road trip|road movie|transgender
204,action|train|good action|action packed|fight scenes|chase|gunfight|explosions|vengeance|tom clancy|lone hero
205,cancer|dysfunctional family|drama|original
206,fashion|women|sexual|documentary
207,romance|romantic|love story|love|chick flick|destiny|family|happy ending|beautiful scenery
208,futuristic|post-apocalyptic|post apocalyptic|big budget|future|dark hero|sci-fi|scifi|natural disaster|action|alone in the world|apocalypse|dystopia|dystopic future|end of the world|adventure|science fiction|sci fi|good action|technology
209,race issues|alternate reality|original|stereotypes|alternate history
210,western|gunfight|life & death|biopic
211,teacher|mentor|life & death|school|reflective|literature|original|based on a play
212,children|kids|kids and family|adventure|comedy
213,oscar (best foreign language film)|russian|russia|foreign|father daughter relationship|drama|criterion|tragedy|genocide|affectionate|betrayal
214,criterion|non-linear|brutality|wartime|storytelling|cinematography|foreign|oscar (best foreign language film)|melancholic|violence|enigmatic|allegory|complex|war
215,romantic|dialogue driven|vienna|love story|romance|bittersweet|relationships|talky|loneliness|love|dialogue|poignant|original|philosophical|touching|imdb top 250|intimate|melancholic|honest|criterion
216,funniest movies|comedy|goofy|stupidity|hilarious|dumb|funny|idiotic|saturday night live|dumb but funny|stupid|very funny|school|spelling bee|teacher|silly|silly fun|high school|quotable
217,obsession|teenager|fantasy|pornography|teen movie|pointless
218,women|friendship|unlikely friendships|road movie|aids|chick flick|lesbian|relationships|road trip
219,coming of age|friendship|unlikely friendships|terminal illness|childhood|touching|mentor|adolescence|coming-of-age|aids
220,horror|splatter|death|creepy|cannibalism|goretastic|demons
222,adapted from:book|irish|friendship|ireland|irish accent|chick flick|unlikely friendships|girlie movie|book|based on book|books|book was better|betrayal|romance|adaptation|coming-of-age
223,view askew|jay and silent bob|independent film|new jersey|slackers|cult classic|low budget|comedy|original|dialogue|dialogue driven|talky|good soundtrack|quotable|cult film|great dialogue|workplace|dark humor|excellent script|good dialogue
224,fantasy|romance|love|romantic|psychiatrist|love story|psychiatry|fantasy world|original
225,sexual|based on a book|workplace|erotic|conspiracy|sexy|thriller|tense|lawyer|corporate america|paranoia
227,good action|action|fight scenes|action packed|chase
228,las vegas|destiny|dialogue|quirky
229,psychological|world politics|dialogue driven|guilt|intense|claustrophobic|torture|psychology|oscar (best actress)|original|nudity (topless - notable)|talky|based on a play|rape|justice|enigmatic|paranoia
230,adapted from:book|drama|small town|murder|secrets|great acting|family bonds|based on a book|murder mystery|police investigation|investigation|dysfunctional family|adaptation
231,dumb|suprisingly clever|funniest movies|dumb but funny|comedy|goofy|stupid as hell|stupidity|hilarious|funny as hell|road trip|humor|humorous|original|very funny|idiotic|quotable|stupid|silly fun|funny
232,father daughter relationship|relationships|cooking|single father|amazing cinematography|food|family drama|marriage|affectionate|loneliness|wuxia|beautifully filmed|love|foreign
233,complex|enigmatic|melancholic|obsession|art house|independent film|secrets|weird|voyeurism|relationships|loneliness|strippers|pornography
234,bdsm|erotic|nudity (topless - notable)|male nudity|pornography|based on a book|island|sexual|sexy|nudity (full frontal - notable)|books
235,oscar (best supporting actor)|eccentricity|biopic|imdb top 250|affectionate|original|black and white|great acting|cross dressing|quirky|biographical|biography|fighting the system|cult classic|weird|poignant|golden palm|true story|cult film|talky
236,romantic comedy|romantic|france|paris|good romantic comedies|love story|romance|love|chick flick|french|light|comedy|destiny|girlie movie|sweet|beautiful scenery
237,paris|romantic comedy|romantic|romance|comedy|france|love story|good romantic comedies|funny|happy ending|feel-good
238,dog|wilderness|dogs|kids and family|family|adventure|animals
239,cartoon|goofy|disney animated feature|animation|disney|childhood|kids|road trip|family|fun|adventure|cute|fun movie|father son relationship|kids and family
240,based on a book|serial killer|based on book|adapted from:book|adaptation|books
241,dog|dogs|kids and family|animals|animal movie|talking animals|family|chase|life & death
242,18th century|mozart|opera|music|biopic|musical|biographical|visually stunning|musicians|classical music|biography|beautifully filmed
243,talking animals|family|pigs|animals|kids and family|cute|children
244,stop motion|original|robot
245,police|police corruption|corruption|police investigation
246,oscar (best editing)|sports|documentary|poverty|criterion|high school|dreams|school|coming of age|social commentary|basketball|mentor|college|original
247,obsession|friendship|fantasy world|surreal|true story|adolescence|coming of age|imagination|murder|unlikely friendships|disturbing|fantasy|original|weird|women|based on a true story|based on true story|splatter|surrealism|enigmatic
248,comedy|family|funny|chase|hilarious
249,biographical|classical music|music|mozart|biopic|drama|biography|mentor|musicians|passionate|great acting|18th century|great music|beautifully filmed|destiny|intense|great ending|solitude|dramatic
250,camp|kids|fun movie|nostalgic|childhood|original
251,ninja|fight scenes|action|sword fighting|vengeance|sword fight|assassin|weapons|assassins|chase|original|bloody
252,romantic comedy|romantic|chick flick|love story|romance|feel-good|fun movie|good romantic comedies|sweet|cute!|cute|feel good movie|light|happy ending|period piece|love
253,vampires|vampire|immortality|adapted from:book|based on a book|goth|book was better|nocturnal|based on book|dark fantasy|gothic|books|18th century|original|book|blood|mentor|literature|adaptation|horror
254,revolution|18th century|history|historical|france|catholicism|slavery|us history|visually appealing|period piece|very interesting|original
255,comedy|mob|funny|mafia|very funny|original|gangsters|stupidity
256,arnold|pregnancy|comedy|silly fun|silly|light|mad scientist
257,lawyers|vengeance|death penalty|lawyer|murder|twists & turns|suspense|justice|serial killer|thriller|corruption|court|chase|death|revenge|police|police investigation|investigation|rape|suspenseful
258,kids|kids and family|disney|king arthur|childhood|fantasy|cute!|time travel|cute|original
259,nudity (topless - brief)|gangster|mob|gangsters|crime|original|noir thriller|betrayal|corruption|remake
260,space opera|science fiction|sci fi|scifi|trilogy|rebellion|imdb top 250|good versus evil|star wars|futuristic|space|mythology|special effects|series|robots|saturn award (best special effects)|sci-fi|franchise|oscar (best effects - visual effects)|visual
261,family bonds|adapted from:book|girlie movie|sisters|costume drama|based on a book|literature|adaptation|excellent|drama|romantic|period piece|story
262,imagination|based on a book|boarding school|adapted from:book|beautifully filmed|school|based on book|single father|childhood|children|england|fairy tale|india|fantasy world|girlie movie|london|original
263,social commentary|harsh|children|relationships|working class|drama
264,obsession|psychological|adultery|insanity|paranoia|enigmatic|infidelity|neo-noir|imagination|psychology|art|criterion|original|cerebral|dark|visually appealing
265,magic realism|cooking|passionate|relationships|love|bittersweet|intimate|chocolate|food|visually appealing|love story|marriage|literature|romantic|beautifully filmed|spanish
266,oscar (best cinematography)|brothers|love story|epic|family bonds|beautiful scenery|dramatic|cinematography|indians|emotional|war|great acting|amazing cinematography|tragedy|breathtaking|bittersweet|drama|destiny|native americans|love
267,comedy|children|funniest movies|funny|hilarious|kids|military|very funny|mentor|goofy|camp
268,dysfunctional family|organized crime|hit men|original|crime|undercover cop|parenthood
269,los angeles|gangs|friendship|california|drugs|teen movie|good soundtrack|unlikely friendships
270,love story|love|remake|romance|romantic
271,adoption|mother-son relationship|children|lawyers|family|lawyer
272,18th century|costume drama|england|history|historical|based on a play|great acting|psychiatry|period piece|insanity|dramatic|drama|eccentricity|revolution|british|factual|exceptional acting|doctors|original|oscar (best actress)
273,adapted from:book|based on a book|based on book|adaptation|mad scientist|literature|monster|mentor|life & death|gothic|horror|original
274,chase|family|children|divorce|kids|disney
275,christmas|holiday|remake|comedy|original
276,single father|prostitution|kids|kids and family|happy ending
277,remake|holiday|christmas|original|family
278,relationships|infidelity|marriage|cheating|original
279,los angeles|family|dysfunctional family|california|excellent script
280,alcatraz|lawyers|lawyer|prison|corruption|fighting the system|mentor|based on true story|courtroom|true story|torture|brutality|great acting|dramatic|based on a true story|drama|factual|male nudity|murder|justice
281,small town|father son relationship|character study|relationships|drinking|original|redemption|drama
