movieId,user_tags_top10
97,social commentary|french|realistic|black and white|gritty|confrontational|cynical|ghetto|angry|bleak
98,want to own|directorial debut|jude law
99,hollywood|narration|prostitution
100,corruption|al pacino|clv|drug dealer|drugs|harold becker|investigation|mayor|own|police
101,wes anderson|quirky|off-beat comedy|owen wilson|nothing goes right|sweet|criterion|luke wilson|motel|sibling relationship
102,nick castle|one of the worst ever|stupid
103,experiment|forensic|forgettable|gunman|memory|murder|police|suspense|wife husband relationship
104,adam sandler|golf|sports|comedy|bob barker|underdog|seen more than once|you're gonna die clown|carl weathers|funny
105,affair|meryl streep|iowa|sentimental|based on a book|clint eastwood|romance|adultery|bechdel test:pass|bittersweet
106,falling in love|prophecy|rich man|single|voodoo|woman director
107,treasure|muppets|pirates|tim curry|based on a book|based on a tv show|bill connolly|billy connolly|childhood|coming of age
109,ex-con
110,mel gibson|historical|medieval|war|action|inspirational|scotland|classic|drama|oscar (best picture)
111,robert de niro|loneliness|cult film|dark|martin scorsese|atmospheric|mental illness|social commentary|disturbing|classic
112,"jackie chan|kung fu|martial arts|fight scenes|amazing fight choreography|hong kong|kung-fu|bad dub|bronx, new york city|clv"
113,cover up|massachusetts|murder|mystery|teenager
114,mining|bagpipes|canada|clv|coal mine|coal mining|dance lesson|less than 300 ratings|mort ransen|nova scotia
115,01/11|03/10|05/10|06/10|08/10|10/10|11/10|12/10|best friend|comedie
116,holocaust|true story|nazis|oscar (best documentary feature)|biography|germany|glenn close|anti-semitism|archive footage|jews
117,murder|awesome|based on a true story|benjamin ross|cool|disturbing|dysfunctional family|london england|mental institution|poison
118,best friend|brooklyn bridge|clv|independent film|love|roommate|single
119,estate|lawyer|santa barbara california|sibling relationship|twin brother
120,australia|car|hawaii|solar power|teacher
121,child abuse|sexual abuse|catholicism|1970s|based on a true story|christianity|corruption|cover up|henry czerny|john n. smith
122,can't remember|casanova|chefin|clv|ladies' man|ladykiller|nudity (topless - brief)|role of women|success|womanizer
123,stylized|dreamlike|loneliness|reflective|hong kong|good music|lyrical|criterion|melancholy|wong kar wai
124,giuseppe tornatore
125,ben stiller|david o. russell|patricia arquette|screwball comedy|ensemble cast|nudity (topless - brief)|tã©a leoni|glenn fitzgerald|gratuitous sex|half-brother
126,flying|imaginative|interesting|magic|magical
127,woman director
128,dvd-video|michel negroponte
129,nudity (topless - notable)|nudity (topless)
130,independent film|isolation|woman director
131,boy|flashback|ireland|troop ship|writer
132,nudity (rear)|san francisco|callgirl|chazz palminteri|clv|flop|investigation|linda fiorentino|murder|nudity (topless - brief)
133,dominican republic|drama|emigration|new york|spanish
134,craig baldwin|illegal art
135,submarine|good comedy|harland williams|kelsey grammer|rebel commander|renegade crew|rusty sub|u.s. navy submarine|bruce dern|david s. ward
136,biography|documentary|mark rappaport|tragedy
137,homosexuality|independent film|mockumentary
138,1940s|based on a book|based on novel or book|evangelist|singer|south|southern usa
140,bibliothek|career|journalism|love story|miami|newsman|reporter|stockard channing|television
141,comedy|gay|gay stereotypes|queer|robin williams|cross dressing|drag queens|gene hackman|remake|florida
143,apparition|communism|miracle|mountain|virgin mary
144,irish|best friend|clv|edward burns|family|independent film|irish catholic|love|reviewed|true love
145,will smith|action|miami|michael bay|buddy movie|car chase|drugs|funny|martin lawrence|easily confused with other movie(s) (title)
146,china|panda|animal picture|christopher cain|poacher
147,drugs|leonardo dicaprio|addiction|based on a true story|mark wahlberg|new york city|true story|based on a book|escape|heroin
148,1940s|based on novel or book|catchy|england|liverpool|nudity (topless - notable)|nudity (topless)|theatre company
149,amnesia|cerebral|redemption|deliberate|hal hartley|haunted by the past|humorous|independent film|literate|quirky
150,space|based on a true story|tom hanks|nasa|true story|space program|astronauts|dramatic|moon|suspense
151,sword fight|18th century|scotland|highlands|rape|biography|honor|liam neeson|sword fighting|tim roth
152,christopher walken|lili taylor|vampire|vampires|addiction|atmospheric|blood|dark|drug abuse|intense
153,jim carrey|superhero|comic book|batman|nicole kidman|sequel|super-hero|tommy lee jones|val kilmer|dc comics
154,double life|bunuel|based on a book|brothel|catherine deneuve|criterion|enigmatic|extramarital affairs|luis buñuel|masochism
155,burma|doctor|history|rangoon|wonderful surprise movie
156,nudity (topless)|brooklyn|cigar|cigarette|clv|corner shop|in netflix queue|jim jarmusch|lille fille.|lou reed
157,politics|conspiracy|john candy|michael moore
158,christina ricci|ghosts|family|ghost|funny|cute|supernatural|brad silberling|eric idle|romance boygirl dancing
159,drug lord|drug pusher|drugs|dvd-video|prospect preferred|spike lee|starz|train
160,michael crichton|jungle|africa|gorilla|nostalgia|?adapted from:book|action|author:michael chricton?|author:michael crichton|based on a book
161,tense|submarine|gene hackman|war|denzel washington|mutiny|nuclear|chain of command|underwater|viggo mortensen
162,artist mind|documentary|biography|comic book|counterculture|criterion|quirky|raunchy|sexual|wry
163,action|antonio banderas|robert rodriguez|steve buscemi|mexico|violence|romance|organized crime|salma hayek|sequel
164,film noir|atmospheric|based on a book|cheadle appearance|denzel's fine behind|femmes fatales|jazz club|los angeles|moody|murder
165,bruce willis|samuel l. jackson|action|violent|new york city|terrorism|always watch it when it's on tv|jeremy irons|lone hero|action packed
166,cult film|surreal|violent|california|campy|controversy|crystal meth|drifter|eroticism|fellatio
167,last words connection
168,sean connery|arthurian legend|king arthur|chick flick|medieval|richard gere|camelot|clv|excalibur|julia ormond
169,family|adventure|animal:orca|animal:whale|human animal relationship|killer whale|whale
170,computers|hackers|cyberpunk|hacking|angelina jolie|cult film|cheesy|inaccurate|internet|awesome soundtrack
171,gay|aids|4th wall|based on play or musical|christopher ashley|clv|friendship relations|hiv positive|romantic comedy
172,cyberpunk|dystopia|keanu reeves|memory|hackers|sci-fi|william gibson|futuristic|henry rollins|technology
173,dystopia|sylvester stallone|comic book|future|futuristic|police corruption|sci-fi|cheesy lines|police|rob schneider
174,clv|golden raspberry (worst actor)|independent film|john fortenberry|jurist|jury|jury duty|stripper|tacos|verdict
175,controversial|drugs|nudity (full frontal)|new york city|teenagers|youth gone wild|aids|indecent|authentic|teen
176,indie|meta-indie|steve buscemi|film-making|behind-the-scenes|catherine keener|movie business|tom dicillo|dwarf|nudity (topless)
177,occult|cult|supernatural|can't remember|clive barker|clv|dark fantasy|devil|fanatic|huh?
178,dark comedy|adapted from:play|bisexual|canadian|distopian|gay|indy|lgbt|mystery|nihilism
179,college|mental illness|nudity (topless - brief)|suicide attempt|teen angst|woman director
180,kevin smith|jay and silent bob|crude humor|view askew|1990s|good dialogue|comic books|jason lee|nudity (topless)|teen
181,power rangers|nostalgic|action|bad cgi|based on a tv show|based on tv series|dvd-ram|ethnic diversity|mighty morphin power rangers|mmpr
182,clv|death of husband|female friendship|friendship|grief|nudity (topless - notable)|southern theme|widow
183,nudity (topless)|mute|chase|disk|moscow|murder|police|russia
184,2|artsy|dracula|new york|peter fonda|vampire
185,computers|sandra bullock|internet|hackers|hacking|unrealistic|simplistic|cyber-intimidation|inaccurate|thriller
186,hugh grant|robin williams|julianne moore|chris columbus|comedy|jeff goldblum|joan cusack|pregnancy|romantic comedy|cheesy
187,bechdel test:pass|coming-of-age|librarians|library|charming|free spirit|generation x|independent film|indie|librarian
188,christopher walken|christianity|religion|viggo mortensen|slashy|angel|archangel gabriel|best devil ever|dark angel|devil
189,christmas|female protagonist|game show|mia farrow|trauma|unreal
190,criterion|environment|environmental|food|todd haynes|allergy|chemical|debilitating|disorder|environmental illness
191,gary oldman|based on a book|based on novel or book|burning of witches|extramarital affair|nathaniel hawthorne|period drama|period piece|pregnancy|puritan
193,campy|nudity (full frontal)|overacting|strippers|sexual|las vegas|raunchy|so bad it's good|boobs|dull
194,multiple storylines|ensemble cast|new york city|father son relationship|forest whitaker|harvey keitel|independent film|paul auster|brooklyn|interesting
195,family|based on a true story|horse|horses|julia roberts|romance|savannah
196,aliens|alien|nudity (topless - notable)|nudity (topless)|ben kingsley|erotic|seduction|sex|creature feature|forest whitaker
197,oil|clv|period piece|restaurant|rural setting
198,cyberpunk|virtual reality|sci-fi|mindfuck|rape|dark|nudity (topless)|future|ralph fiennes|angela bassett
199,musical|bittersweet|french|notable soundtrack|catherine deneuve|golden palm|criterion|wistful|1950s|1960s
201,korean war|1950s|baseball|can't remember|clv|dog|drifter|little league|martha coolidge|widows/widowers
202,19th century|gay|leonardo dicaprio|based on play or musical|biography|david thewlis|great direction|homoerotic subtext|homosexuality|lgbt
203,drag queens|road trip|homophobia|queer|cross dressing|john leguizamo|appreciating diversity|patrick swayze|small town|stockard channing
204,action|steven seagal|satellite|train|geoff murphy|navy seal|nude beach|pentagon|terrorist
205,a list|diane keaton|john turturro|woman director
206,douglas keeve|fashion
207,keanu reeves|romance|vineyard|world war ii|abandoned woman|cheesy|grape|harvest|love|own
208,post-apocalyptic|kevin costner|steampunk|apocalypse|ocean|survival|adventure|dark hero|dystopia|stupid
209,alternative universe|black white relations|dystopia
210,biography|biopic|calamity jane|clv|gunfighters|loss of eyesight|old west|opium|sioux|western
211,mike figgis
212,boy scouts leader|cave|children|greg beeman|mistaken identity|waterfall
213,russian communist tragedy|nikita mikhalkov|oscar (best foreign language film)|russian|colonel|library|no_fa_ganes|perrot library|ussr|wife husband relationship
214,criterion|harrowing|horror of war|albanian|awful|bd-r|bloody|christian|fashion photographer|girl
215,conversation|reflective|intelligent|dialogue|bittersweet|romantic|thought-provoking|vienna|dialogue driven|minimalist
216,stupid|adam sandler|school|goofy|funny|stop looking at me swan|comedy|high school|seen more than once|stupidity
217,alcohol|babysitter|nudity (topless)|obsession|parents|party|teenager
218,women|unlikely friendships|road movie|whoopi goldberg|drew barrymore|friendship|mary-louise parker|nudity (topless - notable)|aids|car journey
219,coming of age|aids|childhood ignorance|easily confused with other movie(s) (title)|gay romance|hope|mississippi|peter horton
220,castle|h.p. lovecraft|jeffrey combs|barbara crampton|cannibalism|creature|cult film|death|full moon entertainment|horror
222,ireland|irish|minnie driver|a list|adapted from:book|chick flick|chris o'donnell|clv|etaege|forbidden love
223,kevin smith|good dialogue|black and white|low budget|cynical|quirky|witty|view askew|crude humor|dialogue driven
224,romance|mental illness|fantasy|johnny depp|insanity|madness|passion|psychology|sex addiction|can't remember
225,michael crichton|demi moore|sexual harassment|michael douglas|author:michael crichton|based on a book|can't remember|clv|employee|etaege
226,psychic|vision
227,airplane|can't remember|clv|parachuting|suspense|terrorist|transport of prisoners
228,expectant father|heist|las vegas
229,roman polanski|psychological|revenge|chile|clv|dialogue driven|doctor|humiliation|married couple|nudity (topless - notable)
230,stephen king|adapted from:book|child abuse|drama|incest|kathy bates|abusive father|abusive husband|bank account|based on a book
231,jim carrey|comedy|stupid|silly|road trip|jeff daniels|toilet humor|buddy movie|goofy|protagonist is an idiot
232,relationships|cooking|food/cooking|aging|ang lee|food|minimalist|breakups and divorces|china|photography
233,atom egoyan|grief|strippers|canada|dark|obsession|toronto|art house|atmospheric|believable
234,nudity (full frontal - notable)|nudity (full frontal)|nudity (topless - notable)|rosie in leather|anne rice|based on a book|bdsm|island|kinky|love
235,johnny depp|tim burton|movie business|black and white|bill murray|biopic|oscar (best supporting actor)|quirky|true story|biography
236,meg ryan|romantic|paris|a list|airport|beautiful scenery|canadian|clv|comedy|deal
237,basketball|billy crystal|paris|sports|crisis|dallas|debra winger|falling in love|france|hbo
238,wilderness|boy and dog|dog|dogs
239,disney|animation|cartoon|road trip|funny|goofy|90s|90s kid|adventure|celebrity
240,dean koontz|based on a book|resurrection|serial killer|suspense
241,dog|reincarnation|based on novel or book|car accident|dog movie|dogs|flashback|parent child relationship|talking animals|talking dog
242,opera|18th century|backstage|biography|brotherhood|castration|dresden|eunuch|laserdisc clv|musical
243,country music|mark lewis|pigs|talking animals
244,vhs
245,police|police corruption|racism
246,basketball|documentary|sports|chicago|high school|criterion|national film registry|nba|poverty|true story
247,lesbian|peter jackson|new zealand|surrealism|surreal|kate winslet|stylized|based on a true story|visceral|disturbing
248,sinbad|bad|randall miller
249,gary oldman|beethoven|classical music|deafness|biographical|nudity (full frontal)|beautiful music|bernard rose|biography|character based on real person:beethoven
250,nostalgic|summer camp|overweight|steven brill
251,clv|horror
252,meg ryan|tim robbins|albert einstein|romantic comedy|bibliothek|car mechanic|character based on real person:albert einstein|character based on real person:marilyn monroe|chick flick|clv
253,vampires|brad pitt|fantasy|vampire|tom cruise|kirsten dunst|atmospheric|based on a book|horror|cult classic
254,biography|france|history|president|revolution
255,gangster|new york|prank telephone call
256,arnold|arnold schwarzenegger|pregnant man|danny devito|silly|easygoing|horrible|julie andrews|light|nostalgia critic
257,death penalty|laurence fishburne|author: john katzenbach|black people|clv|ed harris|florida|harvard university|innocence|lawyers
258,time travel|arthurian legend|baseball|clv|disney|joss acklund|kids|king arthur|little league|medieval
259,clv|hoodlum|nudity (topless - brief)|samuel l. jackson
260,sci-fi|space|classic|science fiction|space adventure|classic sci-fi|action|adventure|fantasy|star wars
261,based on a book|louisa may alcott|adapted from:book|strong woman|winona ryder|acting|christian bale|emotional|kirsten dunst|period piece
262,boarding school|imagination|based on a book|class differences|india|liesel matthews|little girl|orphan|riches to rags|african american servant
263,ken loach|angry|biting|cathartic|children|crissy rock|divx|drab|family|forceful
264,actress from nathalie|claude chabrol|madness
265,magic realism|bittersweet|magic|food/cooking|intimate|compassionate|food|mexico|nudity (full frontal - notable)|romantic
266,brad pitt|anthony hopkins|emotional|romance|amazing cinematography|dramatic|great acting|world war i|great ensemble cast|julia ormond
267,comedy|hilarious|military|classic|damon wayans|funny|military spoof|underdog|base|boarding school
268,brother|dysfunctional family|james gray|russian mafia
269,chola|cholo|east los angeles|echo park|gang|gang member|girl gang|girl gangs|hispanic|los angeles
270,accident|accident victim|clv|cruise|disabled|empire state building|ennio morricone
271,adoption|baby|bad parents|based on novel or book|but the court scene leaves much to be desired.|child abuse|court case|custody battle|drug addiction|extramarital affair
272,biopic|revolution|18th century|history|england|biography|costume drama|funny|period piece|royalty
273,frankenstein|gothic|based on a book|cherie lunghi|frankenstein's monster|helena bonham carter|kenneth branagh|remake|writer: mary shelley|adapted from:book
274,disney|james orr
275,christmas|steve martin|adam sandler|bad acting|bummer|cross dresser|depressing|holiday|juliette lewis|liev schreiber
276,ed harris|melanie griffith|anne heche|boy|clv|family|make a match|malcolm mcdowell|male teenager(s) & female prostitute(s)|matchmaking
277,christmas|remake|70mm|santa claus|bad remake|classic|competition|department store|dylan mcdermott|elizabeth perkins
278,adultery|antonio banderas|mia farrow|miami|sarah jessica parker
279,clv|death of wife|family|family relationships|gregory nava|immigrant|independent film|los angeles|marriage
280,alcatraz|prison|christian slater|corruption|courtroom|kevin bacon|1930s|gary oldman|insanity|lawyers
281,paul newman|nudity (topless - notable)|nudity (topless)|bruce willis|clv|funny and heartwarming|hulu|illegal employment|interesting characters|melanie griffith
282,jodie foster|liam neeson|natasha richardson|speech therapy|language|nudity (full frontal)|communication|autism|can't remember|child alone after parents died
283,black youths|brutality|hip-hop|new jersey|police|troubled teen
285,detective|drugs|experiment|hallucination|killer|scientist|suicide
286,albert pyun|fbb|muscles|strong women|sue price|bad story|cyborg|post-apocalyptic|sequel
288,dark comedy|brutality|psychedelic|stylized|serial killer|satire|controversial|hallucinatory|violence|road trip
289,destiny|italy|marissa tomei|robert downey jr|soulmates|trip|bob*ola|bonnie hunt|can't remember|cheating
290,brutality|rape|maori|new zealand|strong women|abuse|alcoholism|disturbing|sad|violence
292,epidemic|disease|morgan freeman|dustin hoffman|formulaic|military|virus|wolfgang petersen|overrated|army
293,natalie portman|jean reno|assassin|great acting|gary oldman|hitman|quirky|friendship|love story|luc besson
294,cuban refugees|immigration|independent film|political prisoner|woman director
295,arsonist|burning house|jealousy|teenage crush
296,quentin tarantino|dark comedy|nonlinear|multiple storylines|cult film|samuel l. jackson|violence|black comedy|drugs|crime
297,black panthers
298,ang lee|directorial debut
299,gay|queer|religion|catholicism|christianity|homosexuality|priest|robert carlyle|sexual abuse|social commentary
300,corruption|based on a true story|intelligent|television|crime|robert redford|tv show|1950s|forgettable|john turturro
301,arranged marriage|cultural difference|hawaii|japan|kayo hatta|older man younger woman relationship|orphan|toshiro mifune|toshirô mifune
302,16th century|nudity (full frontal)|costume drama|history|massacre|royalty|action|best|biography|black widow
303,western|russell crowe|gene hackman|leonardo dicaprio|sam raimi|sharon stone|revenge|director: sam raimi|lance henriksen|redemption
304,based on short story|birthday|deathbed|funeral|grandparent grandchild relationship|orphan|roommate|vegetarian
305,fashion|nudity (full frontal)|forest whitaker|altman|cher|clv|fashion photographer|hotel room|julia roberts|mannequin
306,coincidences|enigmatic|french|krzysztof kieslowski|atmospheric|criterion|melancholy|best of rotten tomatoes: all time|bfi modern classic|desert island flicks
307,atmospheric|juliette binoche|meditative|beauty|music|bfi modern classic|criterion|three colors trilogy|classical music|composer
308,three colors trilogy|beautiful|poland|bfi modern classic|criterion|cynical|satirical|sequel|three colours trilogy|touching
309,ping he|business|fireworks
311,serial murder|special education|suspicion|therapist
312,saturday night live|al franken|dumb but sophisticated|harold ramis|satire|true to life
313,animation|classic|swan lake|musical|talking animals|animated|first part|itaege|kingdom|love
314,mythology|irish|family|great storytelling|legends|seals|selkies|ancestors|atmospheric|child's wisdom
315,nudity (topless)|sylvester stallone|clv|explosive|explosives expert|luis llosa|no_fa_ganes|nudity (rear)|revenge|sharon stone
316,sci-fi|space|aliens|mythology|archaeology|science fiction|time travel|stargate|egyptian mythology|egypt
317,christmas|tim allen|santa claus|fantasy|holiday|whiny kid|family movie|funny|children|elves
318,morgan freeman|prison|prison escape|twist ending|inspirational|thought-provoking|friendship|stephen king|great ending|classic
319,dark comedy|atmospheric|disturbing|ewan mcgregor|macabre|crime|cynical|danny boyle|underrated|black comedy
320,identity|amnesia|betrayal|black and white|evil twin|film theory|identity swapping|twins|underrated
321,cuba|communism|lgbt|1970s|artist|caribbean|friendship|gay|havana|havana cuba
322,revenge|dark comedy|kevin spacey|black comedy|hollywood|mean|2.5|george huang|independent film|movie business
324,russell crowe|australia|based on play or musical|breaking the fourth wall|gay|gay and straight|gay son|geoff burton|homosexuality|independent film
325,national lampoon
326,poignant|politics|china|class issues|communism|gritty|gambling|purpose in life|tense|counter-revolutionary
327,post-apocalyptic|post apocalyptic|lori petty|based on a comic|desert|punk|stylized|malcolm mcdowell|mutants|dystopia
328,nudity (topless)|billy zane|crypt keeper|nostalgic|blood|chosen one|clv|demon|ernest r. dickerson|gilbert adler
329,star trek|patrick stewart|space|based on a tv show|william shatner|sci-fi|gene roddenberry|brent spiner|whoopi goldberg|enterprise
330,anthology|child abuse|clv|dirty cop|evil doll|funeral home|ghetto|hood|ku klux klan|murder
331,mental illness
332,john carpenter|christopher reeve|evil children|alien|alien life-form|bewusstlosigkeit|constance forslund|doppelgänger|horror|karen kahn
333,chris farley|david spade|quotable|road trip|funniest movies|hilarious|slapstick|funny|goofy|seen more than once
334,autumnal|criterion|austere|based on a play|intimate|louis malle|meditative|actors|adapted from:play|chekhov
335,city|clv|independent film|noir
336,african american|jungle|vietnam
337,johnny depp|leonardo dicaprio|bittersweet|coming of age|mental illness|small town|dysfunctional family|brothers|disability|whimsical
