tmdbId,tmdb_title,top_cast,cast_count,director,writers,producers,composer
64682,The Great Gatsby,Leonardo DiCaprio|Tobey Maguire|Carey Mulligan|Joel Edgerton|Elizabeth Debicki,31,Baz Luhrmann,Baz Luhrmann|Craig Pearce,Baz Luhrmann|Catherine Martin|Catherine Knapman|Lucy Fisher,Craig Armstrong
9543,Prince of Persia: The Sands of Time,Jake Gyllenhaal|Gemma Arterton|Ben Kingsley|Alfred Molina|Steve Toussaint,13,Mike Newell,Boaz Yakin|Doug Miro|Carlo Bernard,Jerry Bruckheimer,Harry Gregson-Williams
68726,Pacific Rim,Idris Elba|Charlie Hunnam|Charlie Day|Ron Perlman|Burn Gorman,43,Guillermo del Toro,Travis Beacham|Guillermo del Toro|Travis Beacham,Guillermo del Toro|Jon Jashni|Mary Parent|Thomas Tull,Ramin Djawadi
38356,Transformers: Dark of the Moon,Shia LaBeouf|John Malkovich|Ken Jeong|Frances McDormand|Josh Duhamel,39,Michael Bay,Ehren Kruger,Don Murphy|Ian Bryce|Lorenzo di Bonaventura|Kenny Bates|Tom DeSanto,Steve Jablonsky
217,Indiana Jones and the Kingdom of the Crystal Skull,Harrison Ford|Cate Blanchett|Shia LaBeouf|Ray Winstone|Karen Allen,38,Steven Spielberg,George Lucas|David Koepp|Jeff Nathanson,Frank Marshall,John Williams
105864,The Good Dinosaur,Raymond Ochoa|Jack Bright|Jeffrey Wright|Frances McDormand|Maleah Nipay-Padilla,19,Peter Sohn,Bob Peterson|Peter Sohn|Kelsey Mann|Erik Benson|Meg LeFauve,John Lasseter|Denise Ream,Mychael Danna|Jeff Danna
62177,Brave,Kelly Macdonald|Julie Walters|Billy Connolly|Emma Thompson|Kevin McKidd,15,Brenda Chapman|Mark Andrews|Steve Purcell,Irene Mecchi|Brenda Chapman|Brenda Chapman|Mark Andrews|Steve Purcell,Katherine Sarafian,Patrick Doyle
188927,Star Trek Beyond,Chris Pine|Zachary Quinto|Karl Urban|Simon Pegg|Zoe Saldana,33,Justin Lin,Simon Pegg|Doug Jung,J.J. Abrams|Roberto Orci|Bryan Burk|Justin Lin,
10681,WALL·E,Ben Burtt|Elissa Knight|Jeff Garlin|Fred Willard|John Ratzenberger,29,Andrew Stanton,Andrew Stanton|Jim Reardon,Jim Morris|Lindsey Collins,Thomas Newman
5174,Rush Hour 3,Chris Tucker|Jackie Chan|Hiroyuki Sanada|Max von Sydow|Yvan Attal,18,Brett Ratner,Jeff Nathanson,Roger Birnbaum|Jonathan Glickman|Arthur M. Sarkissian|Jay Stern,Lalo Schifrin
14161,2012,John Cusack|Amanda Peet|Chiwetel Ejiofor|Thandie Newton|Oliver Platt,52,Roland Emmerich,Harald Kloser|Roland Emmerich,Larry J. Franco|Harald Kloser|Mark Gordon|Volker Engel|Marc Weigert,Harald Kloser|Thomas Wanker
17979,A Christmas Carol,Gary Oldman|Jim Carrey|Steve Valentine|Daryl Sabara|Sage Ryan,18,Robert Zemeckis,Robert Zemeckis,,
76757,Jupiter Ascending,Mila Kunis|Channing Tatum|Sean Bean|Eddie Redmayne|Douglas Booth,66,Lilly Wachowski|Lana Wachowski,Lilly Wachowski|Lana Wachowski,Grant Hill|Lilly Wachowski|Lana Wachowski,Michael Giacchino
258489,The Legend of Tarzan,Alexander Skarsgård|Margot Robbie|Christoph Waltz|Samuel L. Jackson|Djimon Hounsou,34,David Yates,Stuart Beattie|Edgar Rice Burroughs|Craig Brewer|John Collee|Adam Cozad,,Rupert Gregson-Williams
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",William Moseley|Anna Popplewell|Skandar Keynes|Georgie Henley|Liam Neeson,24,Andrew Adamson,Andrew Adamson|Ann Peacock|Christopher Markus|Stephen McFeely,David Minkowski|Matthew Stillman|Mark Johnson|Philip Steuer|Douglas Gresham,Harry Gregson-Williams
246655,X-Men: Apocalypse,James McAvoy|Michael Fassbender|Jennifer Lawrence|Nicholas Hoult|Oscar Isaac,95,Bryan Singer,Bryan Singer|Simon Kinberg|Michael Dougherty|Dan Harris,Lauren Shuler Donner|Simon Kinberg,John Ottman
155,The Dark Knight,Christian Bale|Heath Ledger|Aaron Eckhart|Michael Caine|Maggie Gyllenhaal,134,Christopher Nolan,Christopher Nolan|Jonathan Nolan|David S. Goyer,Charles Roven|Christopher Nolan|Emma Thomas|Lorne Orleans,Hans Zimmer|James Newton Howard
14160,Up,Ed Asner|Christopher Plummer|Jordan Nagai|Bob Peterson|Delroy Lindo,16,Pete Docter,Bob Peterson|Bob Peterson|Pete Docter|Pete Docter|Tom McCarthy,Jonas Rivera,
15512,Monsters vs Aliens,Seth Rogen|Reese Witherspoon|Hugh Laurie|Paul Rudd|Kiefer Sutherland,28,Conrad Vernon|Rob Letterman,Wallace Wolodarsky|Glenn Berger|Jonathan Aibel|Maya Forbes|Rob Letterman,,
1726,Iron Man,Robert Downey Jr.|Terrence Howard|Jeff Bridges|Shaun Toub|Gwyneth Paltrow,87,Jon Favreau,Art Marcum|Matt Holloway,Avi Arad|Kevin Feige,Ramin Djawadi
44826,Hugo,Ben Kingsley|Sacha Baron Cohen|Asa Butterfield|Chloë Grace Moretz|Ray Winstone,28,Martin Scorsese,John Logan|Brian Selznick,Johnny Depp|Martin Scorsese|Graham King|Tim Headington,Howard Shore
8487,Wild Wild West,Will Smith|Kevin Kline|Kenneth Branagh|Salma Hayek|M. Emmet Walsh,29,Barry Sonnenfeld,Jeffrey Price|Peter S. Seaman|Brent Maddock|S. S. Wilson,Jon Peters|Barry Sonnenfeld,Elmer Bernstein
1735,The Mummy: Tomb of the Dragon Emperor,Brendan Fraser|Jet Li|John Hannah|Maria Bello|Luke Ford,15,Rob Cohen,Miles Millar|Alfred Gough,Stephen Sommers|Sean Daniel,
297761,Suicide Squad,Will Smith|Margot Robbie|Joel Kinnaman|Viola Davis|Jared Leto,128,David Ayer,David Ayer,Charles Roven|Richard Suckle,Steven Price
2698,Evan Almighty,Steve Carell|Lauren Graham|John Goodman|Jimmy Bennett|John Michael Higgins,18,Tom Shadyac,Steve Oedekerk,Tom Shadyac|Roger Birnbaum|Michael Bostick|Gary Barber|Neal H. Moritz,
137113,Edge of Tomorrow,Tom Cruise|Emily Blunt|Brendan Gleeson|Bill Paxton|Jonas Armstrong,40,Doug Liman,Christopher McQuarrie|Jez Butterworth|John-Henry Butterworth,Erwin Stoff|Jason Hoffs|Jeffrey Silver|Tom Lassally|Gregory Jacobs,Christophe Beck
9804,Waterworld,Kevin Costner|Chaim Girafi|Rick Aviles|R. D. Call|Zitto Kazann,15,Kevin Reynolds,,Lawrence Gordon|Kevin Costner|John Davis|Charles Gordon,James Newton Howard
14869,G.I. Joe: The Rise of Cobra,Dennis Quaid|Channing Tatum|Marlon Wayans|Sienna Miller|Joseph Gordon-Levitt,23,Stephen Sommers,Stuart Beattie|David Elliot|Paul Lovett,Lorenzo di Bonaventura|Bob Ducsay|Brian Goldner,Alan Silvestri
150540,Inside Out,Amy Poehler|Phyllis Smith|Richard Kind|Bill Hader|Lewis Black,65,Pete Docter,Pete Docter|Pete Docter|Josh Cooley|Meg LeFauve,Jonas Rivera,Michael Giacchino
278927,The Jungle Book,Neel Sethi|Bill Murray|Ben Kingsley|Idris Elba|Scarlett Johansson,30,Jon Favreau,Justin Marks,Jon Favreau|Brigham Taylor,
10138,Iron Man 2,Robert Downey Jr.|Gwyneth Paltrow|Don Cheadle|Scarlett Johansson|Mickey Rourke,115,Jon Favreau,Justin Theroux,Kevin Feige|Victoria Alonso|Jeremy Latcham,
58595,Snow White and the Huntsman,Kristen Stewart|Charlize Theron|Chris Hemsworth|Sam Claflin|Ian McShane,36,Rupert Sanders,John Lee Hancock|Hossein Amini|Evan Daugherty,Sam Mercer|Joe Roth,James Newton Howard
102651,Maleficent,Angelina Jolie|Elle Fanning|Sharlto Copley|Sam Riley|Juno Temple,82,Robert Stromberg,Linda Woolverton,Don Hahn,James Newton Howard
119450,Dawn of the Planet of the Apes,Andy Serkis|Jason Clarke|Gary Oldman|Keri Russell|Toby Kebbell,33,Matt Reeves,Mark Bomback|Rick Jaffa|Amanda Silver,Rick Jaffa|Amanda Silver|Peter Chernin|Dylan Clark,Michael Giacchino
79698,The Lovers,Josh Hartnett|Simone Kessell|Tamsin Egerton|Alice Englert|Bipasha Basu,19,Roland Joffé,Roland Joffé|Ajey Jhankar,Paul Breuls|Catherine Vandeleene|Guy J. Louthan|Grant Bradley|Ajey Jhankar,
64686,47 Ronin,Keanu Reeves|Hiroyuki Sanada|Kou Shibasaki|Tadanobu Asano|Min Tanaka,24,Carl Rinsch,Chris Morgan|Hossein Amini,Eric McLeod|Pamela Abdy|Scott Stuber,
100402,Captain America: The Winter Soldier,Chris Evans|Samuel L. Jackson|Scarlett Johansson|Robert Redford|Sebastian Stan,70,Anthony Russo|Joe Russo,Christopher Markus|Stephen McFeely,Kevin Feige,Henry Jackman
10192,Shrek Forever After,Mike Myers|Eddie Murphy|Cameron Diaz|Antonio Banderas|Julie Andrews,35,Mike Mitchell,William Steig|Josh Klausner|Darren Lemke,,
158852,Tomorrowland,Britt Robertson|George Clooney|Raffey Cassidy|Thomas Robinson|Hugh Laurie,52,Brad Bird,Brad Bird|Brad Bird|Damon Lindelof|Damon Lindelof|Jeff Jensen,Brad Bird|Jeffrey Chernov|Damon Lindelof,Michael Giacchino
177572,Big Hero 6,Scott Adsit|Ryan Potter|Daniel Henney|T.J. Miller|Jamie Chung,46,Chris Williams|Don Hall,Daniel Gerson|Robert L. Baird|Robert L. Baird|Jordan Roberts|Joseph Mateo,Roy Conli,Henry Jackman
82690,Wreck-It Ralph,John C. Reilly|Sarah Silverman|Jack McBrayer|Jane Lynch|Alan Tudyk,66,Rich Moore,Jim Reardon|Rich Moore|Phil Johnston|Jennifer Lee,Clark Spencer|Monica Lago-Kaytis,Henry Jackman
5255,The Polar Express,Tom Hanks|Michael Jeter|Nona Gaye|Peter Scolari|Eddie Deezen,10,Robert Zemeckis,Robert Zemeckis|William Broyles Jr.,Robert Zemeckis|Steve Starkey|Gary Goetzman|William Teitler,Alan Silvestri
47933,Independence Day: Resurgence,Liam Hemsworth|Jeff Goldblum|Bill Pullman|Maika Monroe|Sela Ward,67,Roland Emmerich,Roland Emmerich|Dean Devlin|James Vanderbilt|Nicolas Wright|James A. Woods,Harald Kloser|Roland Emmerich|Dean Devlin,Harald Kloser|Thomas Wanker
10191,How to Train Your Dragon,Jay Baruchel|Gerard Butler|Craig Ferguson|America Ferrera|Jonah Hill,13,Chris Sanders|Dean DeBlois,Chris Sanders|Dean DeBlois|Will Davies,Bonnie Arnold,John Powell
296,Terminator 3: Rise of the Machines,Arnold Schwarzenegger|Nick Stahl|Claire Danes|Kristanna Loken|David Andrews,14,Jonathan Mostow,John D. Brancato|John D. Brancato|Michael Ferris|Michael Ferris|Tedi Sarafian,Mario Kassar|Hal Lieberman|Joel B. Michaels|Andrew G. Vajna|Matthias Deyle,Marco Beltrami
118340,Guardians of the Galaxy,Chris Pratt|Zoe Saldana|Dave Bautista|Vin Diesel|Bradley Cooper,80,James Gunn,James Gunn|Nicole Perlman,Kevin Feige,Tyler Bates
157336,Interstellar,Matthew McConaughey|Jessica Chastain|Anne Hathaway|Michael Caine|Casey Affleck,36,Christopher Nolan,Christopher Nolan|Jonathan Nolan,Christopher Nolan|Emma Thomas|Lynda Obst,Hans Zimmer
27205,Inception,Leonardo DiCaprio|Joseph Gordon-Levitt|Ellen Page|Tom Hardy|Ken Watanabe,29,Christopher Nolan,Christopher Nolan,Christopher Nolan|Emma Thomas,Hans Zimmer
315011,Shin Godzilla,Hiroki Hasegawa|Yutaka Takenouchi|Satomi Ishihara|Kengo Kora|Matsuo Satoru,49,Hideaki Anno|Shinji Higuchi,Hideaki Anno,Kazutoshi Wadakura|Yoshihiro Satô|Taichi Ueda|Masaya Shibusawa,Shirô Sagisu
49051,The Hobbit: An Unexpected Journey,Ian McKellen|Martin Freeman|Richard Armitage|Andy Serkis|Cate Blanchett,30,Peter Jackson,Peter Jackson|Fran Walsh|Philippa Boyens|Guillermo del Toro,Peter Jackson|Fran Walsh|Carolynne Cunningham|Zane Weiner,Howard Shore
9799,The Fast and the Furious,Paul Walker|Vin Diesel|Michelle Rodriguez|Jordana Brewster|Rick Yune,30,Rob Cohen,Gary Scott Thompson|David Ayer|Erik Bergquist,Neal H. Moritz,BT
4922,The Curious Case of Benjamin Button,Cate Blanchett|Brad Pitt|Tilda Swinton|Julia Ormond|Elle Fanning,37,David Fincher,Eric Roth,Kathleen Kennedy|Frank Marshall|Ceán Chaffin,
49538,X-Men: First Class,James McAvoy|Michael Fassbender|Jennifer Lawrence|Kevin Bacon|Rose Byrne,41,Matthew Vaughn,Matthew Vaughn|Jane Goldman|Ashley Edward Miller|Zack Stentz,Lauren Shuler Donner|Bryan Singer|Simon Kinberg|Gregory Goodman,
131634,The Hunger Games: Mockingjay - Part 2,Jennifer Lawrence|Josh Hutcherson|Liam Hemsworth|Woody Harrelson|Elizabeth Banks,51,Francis Lawrence,Danny Strong|Peter Craig,Jon Kilik|Nina Jacobson,James Newton Howard
27022,The Sorcerer's Apprentice,Nicolas Cage|Jay Baruchel|Monica Bellucci|Alfred Molina|Teresa Palmer,14,Jon Turteltaub,Doug Miro|Carlo Bernard,,
503,Poseidon,Kurt Russell|Richard Dreyfuss|Josh Lucas|Jacinda Barrett|Emmy Rossum,14,Wolfgang Petersen,Mark Protosevich,Wolfgang Petersen|Akiva Goldsman|Todd Arnow|Chris Briggs|Mike Fleiss,Klaus Badelt
241259,Alice Through the Looking Glass,Johnny Depp|Mia Wasikowska|Anne Hathaway|Helena Bonham Carter|Alan Rickman,98,James Bobin,Linda Woolverton,Tim Burton|Jennifer Todd|Suzanne Todd|Joe Roth,Danny Elfman
810,Shrek the Third,Mike Myers|Eddie Murphy|Cameron Diaz|Julie Andrews|Antonio Banderas,41,Chris Miller|Raman Hui,Jeffrey Price|Peter S. Seaman|Jon Zack,Aron Warner|Denise Nolan Cascino,Harry Gregson-Williams
68735,Warcraft,Paula Patton|Travis Fimmel|Ben Foster|Robert Kazinsky|Dominic Cooper,47,Duncan Jones,Charles Leavitt|Duncan Jones|Chris Metzen,Charles Roven|Tessa Ross|Alex Gartner|Thomas Tull|Jon Jashni,Ramin Djawadi
87101,Terminator Genisys,Arnold Schwarzenegger|Jason Clarke|Emilia Clarke|Jai Courtney|J.K. Simmons,32,Alan Taylor,Laeta Kalogridis|Patrick Lussier,Dana Goldberg|David Ellison,Lorne Balfe
10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,Skandar Keynes|Georgie Henley|Simon Pegg|Gary Sweet|Arthur Angel,19,Michael Apted,Christopher Markus|Stephen McFeely|Michael Petroni,Mark Johnson|Andrew Adamson|Philip Steuer|Cort Kristensen,David Arnold
676,Pearl Harbor,Ben Affleck|Josh Hartnett|Kate Beckinsale|Cuba Gooding Jr.|Jon Voight,101,Michael Bay,Randall Wallace,Jerry Bruckheimer|Pat Sandston|Michael Bay|K.C. Hodenfield|Kenny Bates,Hans Zimmer
1858,Transformers,Shia LaBeouf|Josh Duhamel|Megan Fox|Rachael Taylor|Tyrese Gibson,38,Michael Bay,Alex Kurtzman|Alex Kurtzman|Roberto Orci|Roberto Orci|John Rogers,Don Murphy|Ian Bryce|Lorenzo di Bonaventura|Tom DeSanto,
1966,Alexander,Colin Farrell|Angelina Jolie|Val Kilmer|Jared Leto|Jonathan Rhys Meyers,51,Oliver Stone,Oliver Stone|Laeta Kalogridis|Christopher Kyle,Iain Smith|Oliver Stone|Thomas Schühly|Jon Kilik|Moritz Borman,Vangelis
675,Harry Potter and the Order of the Phoenix,Daniel Radcliffe|Rupert Grint|Emma Watson|Michael Gambon|Ralph Fiennes,80,David Yates,Michael Goldenberg,David Heyman,Nicholas Hooper
674,Harry Potter and the Goblet of Fire,Daniel Radcliffe|Rupert Grint|Emma Watson|Ralph Fiennes|Michael Gambon,65,Mike Newell,Steve Kloves,David Heyman,Patrick Doyle
