movieId,title,clean_title,year,genres,genres_list,primary_genre,genre_count
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)","City of Lost Children, The (Cité des enfants perdus, La)",1995,Adventure|Drama|Fantasy|Mystery|Sci-Fi,Adventure Drama Fantasy Mystery Sci-Fi,Adventure,5
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Shanghai Triad (Yao a yao yao dao waipo qiao),1995,Crime|Drama,Crime Drama,Crime,2
31,Dangerous Minds (1995),Dangerous Minds,1995,Drama,Drama,Drama,1
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Twelve Monkeys (a.k.a. 12 Monkeys),1995,Mystery|Sci-Fi|Thriller,Mystery Sci-Fi Thriller,Mystery,3
33,Wings of Courage (1995),Wings of Courage,1995,Adventure|Romance|IMAX,Adventure Romance IMAX,Adventure,3
34,Babe (1995),Babe,1995,Children|Drama,Children Drama,Children,2
35,Carrington (1995),Carrington,1995,Drama|Romance,Drama Romance,Drama,2
36,Dead Man Walking (1995),Dead Man Walking,1995,Crime|Drama,Crime Drama,Crime,2
37,Across the Sea of Time (1995),Across the Sea of Time,1995,Documentary|IMAX,Documentary IMAX,Documentary,2
38,It Takes Two (1995),It Takes Two,1995,Children|Comedy,Children Comedy,Children,2
39,Clueless (1995),Clueless,1995,Comedy|Romance,Comedy Romance,Comedy,2
40,"Cry, the Beloved Country (1995)","Cry, the Beloved Country",1995,Drama,Drama,Drama,1
41,Richard III (1995),Richard III,1995,Drama|War,Drama War,Drama,2
42,Dead Presidents (1995),Dead Presidents,1995,Action|Crime|Drama,Action Crime Drama,Action,3
43,Restoration (1995),Restoration,1995,Drama,Drama,Drama,1
44,Mortal Kombat (1995),Mortal Kombat,1995,Action|Adventure|Fantasy,Action Adventure Fantasy,Action,3
45,To Die For (1995),To Die For,1995,Comedy|Drama|Thriller,Comedy Drama Thriller,Comedy,3
46,How to Make an American Quilt (1995),How to Make an American Quilt,1995,Drama|Romance,Drama Romance,Drama,2
47,Seven (a.k.a. Se7en) (1995),Seven (a.k.a. Se7en),1995,Mystery|Thriller,Mystery Thriller,Mystery,2
48,Pocahontas (1995),Pocahontas,1995,Animation|Children|Drama|Musical|Romance,Animation Children Drama Musical Romance,Animation,5
49,When Night Is Falling (1995),When Night Is Falling,1995,Drama|Romance,Drama Romance,Drama,2
50,"Usual Suspects, The (1995)","Usual Suspects, The",1995,Crime|Mystery|Thriller,Crime Mystery Thriller,Crime,3
51,Guardian Angel (1994),Guardian Angel,1994,Action|Drama|Thriller,Action Drama Thriller,Action,3
52,Mighty Aphrodite (1995),Mighty Aphrodite,1995,Comedy|Drama|Romance,Comedy Drama Romance,Comedy,3
53,Lamerica (1994),Lamerica,1994,Adventure|Drama,Adventure Drama,Adventure,2
54,"Big Green, The (1995)","Big Green, The",1995,Children|Comedy,Children Comedy,Children,2
55,Georgia (1995),Georgia,1995,Drama,Drama,Drama,1
56,Kids of the Round Table (1995),Kids of the Round Table,1995,Adventure|Children|Comedy|Fantasy,Adventure Children Comedy Fantasy,Adventure,4
57,Home for the Holidays (1995),Home for the Holidays,1995,Drama,Drama,Drama,1
58,"Postman, The (Postino, Il) (1994)","Postman, The (Postino, Il)",1994,Comedy|Drama|Romance,Comedy Drama Romance,Comedy,3
59,"Confessional, The (Confessionnal, Le) (1995)","Confessional, The (Confessionnal, Le)",1995,Drama|Mystery,Drama Mystery,Drama,2
60,"Indian in the Cupboard, The (1995)","Indian in the Cupboard, The",1995,Adventure|Children|Fantasy,Adventure Children Fantasy,Adventure,3
61,Eye for an Eye (1996),Eye for an Eye,1996,Drama|Thriller,Drama Thriller,Drama,2
62,Mr. Holland's Opus (1995),Mr. Holland's Opus,1995,Drama,Drama,Drama,1
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,Comedy|Crime,Comedy Crime,Comedy,2
64,Two if by Sea (1996),Two if by Sea,1996,Comedy|Romance,Comedy Romance,Comedy,2
65,Bio-Dome (1996),Bio-Dome,1996,Comedy,Comedy,Comedy,1
66,Lawnmower Man 2: Beyond Cyberspace (1996),Lawnmower Man 2: Beyond Cyberspace,1996,Action|Sci-Fi|Thriller,Action Sci-Fi Thriller,Action,3
67,Two Bits (1995),Two Bits,1995,Drama,Drama,Drama,1
68,French Twist (Gazon maudit) (1995),French Twist (Gazon maudit),1995,Comedy|Romance,Comedy Romance,Comedy,2
69,Friday (1995),Friday,1995,Comedy,Comedy,Comedy,1
70,From Dusk Till Dawn (1996),From Dusk Till Dawn,1996,Action|Comedy|Horror|Thriller,Action Comedy Horror Thriller,Action,4
71,Fair Game (1995),Fair Game,1995,Action,Action,Action,1
72,Kicking and Screaming (1995),Kicking and Screaming,1995,Comedy|Drama,Comedy Drama,Comedy,2
73,"Misérables, Les (1995)","Misérables, Les",1995,Drama|War,Drama War,Drama,2
74,Bed of Roses (1996),Bed of Roses,1996,Drama|Romance,Drama Romance,Drama,2
75,Big Bully (1996),Big Bully,1996,Comedy|Drama,Comedy Drama,Comedy,2
76,Screamers (1995),Screamers,1995,Action|Sci-Fi|Thriller,Action Sci-Fi Thriller,Action,3
77,Nico Icon (1995),Nico Icon,1995,Documentary,Documentary,Documentary,1
78,"Crossing Guard, The (1995)","Crossing Guard, The",1995,Action|Crime|Drama|Thriller,Action Crime Drama Thriller,Action,4
79,"Juror, The (1996)","Juror, The",1996,Drama|Thriller,Drama Thriller,Drama,2
80,"White Balloon, The (Badkonake sefid) (1995)","White Balloon, The (Badkonake sefid)",1995,Children|Drama,Children Drama,Children,2
81,Things to Do in Denver When You're Dead (1995),Things to Do in Denver When You're Dead,1995,Crime|Drama|Romance,Crime Drama Romance,Crime,3
82,Antonia's Line (Antonia) (1995),Antonia's Line (Antonia),1995,Comedy|Drama,Comedy Drama,Comedy,2
83,Once Upon a Time... When We Were Colored (1995),Once Upon a Time... When We Were Colored,1995,Drama|Romance,Drama Romance,Drama,2
84,Last Summer in the Hamptons (1995),Last Summer in the Hamptons,1995,Comedy|Drama,Comedy Drama,Comedy,2
85,Angels and Insects (1995),Angels and Insects,1995,Drama|Romance,Drama Romance,Drama,2
86,White Squall (1996),White Squall,1996,Action|Adventure|Drama,Action Adventure Drama,Action,3
87,Dunston Checks In (1996),Dunston Checks In,1996,Children|Comedy,Children Comedy,Children,2
88,Black Sheep (1996),Black Sheep,1996,Comedy,Comedy,Comedy,1
89,Nick of Time (1995),Nick of Time,1995,Action|Thriller,Action Thriller,Action,2
90,The Journey of August King (1995),The Journey of August King,1995,Drama,Drama,Drama,1
92,Mary Reilly (1996),Mary Reilly,1996,Drama|Horror|Thriller,Drama Horror Thriller,Drama,3
93,Vampire in Brooklyn (1995),Vampire in Brooklyn,1995,Comedy|Horror|Romance,Comedy Horror Romance,Comedy,3
94,Beautiful Girls (1996),Beautiful Girls,1996,Comedy|Drama|Romance,Comedy Drama Romance,Comedy,3
95,Broken Arrow (1996),Broken Arrow,1996,Action|Adventure|Thriller,Action Adventure Thriller,Action,3
96,In the Bleak Midwinter (1995),In the Bleak Midwinter,1995,Comedy|Drama,Comedy Drama,Comedy,2
97,"Hate (Haine, La) (1995)","Hate (Haine, La)",1995,Crime|Drama,Crime Drama,Crime,2
98,Shopping (1994),Shopping,1994,Action|Thriller,Action Thriller,Action,2
99,Heidi Fleiss: Hollywood Madam (1995),Heidi Fleiss: Hollywood Madam,1995,Documentary,Documentary,Documentary,1
100,City Hall (1996),City Hall,1996,Drama|Thriller,Drama Thriller,Drama,2
101,Bottle Rocket (1996),Bottle Rocket,1996,Adventure|Comedy|Crime|Romance,Adventure Comedy Crime Romance,Adventure,4
102,Mr. Wrong (1996),Mr. Wrong,1996,Comedy,Comedy,Comedy,1
103,Unforgettable (1996),Unforgettable,1996,Mystery|Sci-Fi|Thriller,Mystery Sci-Fi Thriller,Mystery,3
104,Happy Gilmore (1996),Happy Gilmore,1996,Comedy,Comedy,Comedy,1
105,"Bridges of Madison County, The (1995)","Bridges of Madison County, The",1995,Drama|Romance,Drama Romance,Drama,2
106,Nobody Loves Me (Keiner liebt mich) (1994),Nobody Loves Me (Keiner liebt mich),1994,Comedy|Drama,Comedy Drama,Comedy,2
107,Muppet Treasure Island (1996),Muppet Treasure Island,1996,Adventure|Children|Comedy|Musical,Adventure Children Comedy Musical,Adventure,4
108,Catwalk (1996),Catwalk,1996,Documentary,Documentary,Documentary,1
109,Headless Body in Topless Bar (1995),Headless Body in Topless Bar,1995,Comedy|Drama|Thriller,Comedy Drama Thriller,Comedy,3
110,Braveheart (1995),Braveheart,1995,Action|Drama|War,Action Drama War,Action,3
111,Taxi Driver (1976),Taxi Driver,1976,Crime|Drama|Thriller,Crime Drama Thriller,Crime,3
112,Rumble in the Bronx (Hont faan kui) (1995),Rumble in the Bronx (Hont faan kui),1995,Action|Adventure|Comedy|Crime,Action Adventure Comedy Crime,Action,4
113,Before and After (1996),Before and After,1996,Drama|Mystery,Drama Mystery,Drama,2
114,Margaret's Museum (1995),Margaret's Museum,1995,Drama,Drama,Drama,1
115,"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)","Happiness Is in the Field (Bonheur est dans le pré, Le)",1995,Comedy,Comedy,Comedy,1
116,Anne Frank Remembered (1995),Anne Frank Remembered,1995,Documentary,Documentary,Documentary,1
117,"Young Poisoner's Handbook, The (1995)","Young Poisoner's Handbook, The",1995,Crime|Drama,Crime Drama,Crime,2
118,If Lucy Fell (1996),If Lucy Fell,1996,Comedy|Romance,Comedy Romance,Comedy,2
119,"Steal Big, Steal Little (1995)","Steal Big, Steal Little",1995,Comedy,Comedy,Comedy,1
120,Race the Sun (1996),Race the Sun,1996,Adventure|Comedy|Drama,Adventure Comedy Drama,Adventure,3
121,"Boys of St. Vincent, The (1992)","Boys of St. Vincent, The",1992,Drama,Drama,Drama,1
122,Boomerang (1992),Boomerang,1992,Comedy|Romance,Comedy Romance,Comedy,2
123,Chungking Express (Chung Hing sam lam) (1994),Chungking Express (Chung Hing sam lam),1994,Drama|Mystery|Romance,Drama Mystery Romance,Drama,3
124,"Star Maker, The (Uomo delle stelle, L') (1995)","Star Maker, The (Uomo delle stelle, L')",1995,Drama,Drama,Drama,1
125,Flirting With Disaster (1996),Flirting With Disaster,1996,Comedy,Comedy,Comedy,1
126,"NeverEnding Story III, The (1994)","NeverEnding Story III, The",1994,Adventure|Children|Fantasy,Adventure Children Fantasy,Adventure,3
127,"Silences of the Palace, The (Saimt el Qusur) (1994)","Silences of the Palace, The (Saimt el Qusur)",1994,Drama,Drama,Drama,1
128,Jupiter's Wife (1994),Jupiter's Wife,1994,Documentary,Documentary,Documentary,1
129,Pie in the Sky (1996),Pie in the Sky,1996,Comedy|Romance,Comedy Romance,Comedy,2
130,Angela (1995),Angela,1995,Drama,Drama,Drama,1
131,Frankie Starlight (1995),Frankie Starlight,1995,Drama|Romance,Drama Romance,Drama,2
132,Jade (1995),Jade,1995,Thriller,Thriller,Thriller,1
133,Nueba Yol (1995),Nueba Yol,1995,Comedy|Drama,Comedy Drama,Comedy,2
134,Sonic Outlaws (1995),Sonic Outlaws,1995,Documentary,Documentary,Documentary,1
135,Down Periscope (1996),Down Periscope,1996,Comedy,Comedy,Comedy,1
136,From the Journals of Jean Seberg (1995),From the Journals of Jean Seberg,1995,Documentary,Documentary,Documentary,1
137,Man of the Year (1995),Man of the Year,1995,Documentary,Documentary,Documentary,1
138,"Neon Bible, The (1995)","Neon Bible, The",1995,Drama,Drama,Drama,1
139,Target (1995),Target,1995,Action|Drama,Action Drama,Action,2
140,Up Close and Personal (1996),Up Close and Personal,1996,Drama|Romance,Drama Romance,Drama,2
141,"Birdcage, The (1996)","Birdcage, The",1996,Comedy,Comedy,Comedy,1
142,Shadows (Cienie) (1988),Shadows (Cienie),1988,Drama,Drama,Drama,1
143,Gospa (1995),Gospa,1995,Drama,Drama,Drama,1
144,"Brothers McMullen, The (1995)","Brothers McMullen, The",1995,Comedy,Comedy,Comedy,1
145,Bad Boys (1995),Bad Boys,1995,Action|Comedy|Crime|Drama|Thriller,Action Comedy Crime Drama Thriller,Action,5
146,"Amazing Panda Adventure, The (1995)","Amazing Panda Adventure, The",1995,Adventure|Children,Adventure Children,Adventure,2
147,"Basketball Diaries, The (1995)","Basketball Diaries, The",1995,Drama,Drama,Drama,1
148,"Awfully Big Adventure, An (1995)","Awfully Big Adventure, An",1995,Drama,Drama,Drama,1
149,Amateur (1994),Amateur,1994,Crime|Drama|Thriller,Crime Drama Thriller,Crime,3
150,Apollo 13 (1995),Apollo 13,1995,Adventure|Drama|IMAX,Adventure Drama IMAX,Adventure,3
151,Rob Roy (1995),Rob Roy,1995,Action|Drama|Romance|War,Action Drama Romance War,Action,4
152,"Addiction, The (1995)","Addiction, The",1995,Drama|Horror,Drama Horror,Drama,2
153,Batman Forever (1995),Batman Forever,1995,Action|Adventure|Comedy|Crime,Action Adventure Comedy Crime,Action,4
154,Beauty of the Day (Belle de jour) (1967),Beauty of the Day (Belle de jour),1967,Drama,Drama,Drama,1
155,Beyond Rangoon (1995),Beyond Rangoon,1995,Adventure|Drama|War,Adventure Drama War,Adventure,3
156,Blue in the Face (1995),Blue in the Face,1995,Comedy|Drama,Comedy Drama,Comedy,2
157,Canadian Bacon (1995),Canadian Bacon,1995,Comedy|War,Comedy War,Comedy,2
158,Casper (1995),Casper,1995,Adventure|Children,Adventure Children,Adventure,2
159,Clockers (1995),Clockers,1995,Crime|Drama|Mystery,Crime Drama Mystery,Crime,3
160,Congo (1995),Congo,1995,Action|Adventure|Mystery|Sci-Fi,Action Adventure Mystery Sci-Fi,Action,4
161,Crimson Tide (1995),Crimson Tide,1995,Drama|Thriller|War,Drama Thriller War,Drama,3
162,Crumb (1994),Crumb,1994,Documentary,Documentary,Documentary,1
163,Desperado (1995),Desperado,1995,Action|Romance|Western,Action Romance Western,Action,3
164,Devil in a Blue Dress (1995),Devil in a Blue Dress,1995,Crime|Film-Noir|Mystery|Thriller,Crime Film-Noir Mystery Thriller,Crime,4
165,Die Hard: With a Vengeance (1995),Die Hard: With a Vengeance,1995,Action|Crime|Thriller,Action Crime Thriller,Action,3
166,"Doom Generation, The (1995)","Doom Generation, The",1995,Comedy|Crime|Drama,Comedy Crime Drama,Comedy,3
167,Feast of July (1995),Feast of July,1995,Drama,Drama,Drama,1
168,First Knight (1995),First Knight,1995,Action|Drama|Romance,Action Drama Romance,Action,3
169,Free Willy 2: The Adventure Home (1995),Free Willy 2: The Adventure Home,1995,Adventure|Children|Drama,Adventure Children Drama,Adventure,3
170,Hackers (1995),Hackers,1995,Action|Adventure|Crime|Thriller,Action Adventure Crime Thriller,Action,4
171,Jeffrey (1995),Jeffrey,1995,Comedy|Drama,Comedy Drama,Comedy,2
172,Johnny Mnemonic (1995),Johnny Mnemonic,1995,Action|Sci-Fi|Thriller,Action Sci-Fi Thriller,Action,3
173,Judge Dredd (1995),Judge Dredd,1995,Action|Crime|Sci-Fi,Action Crime Sci-Fi,Action,3
174,Jury Duty (1995),Jury Duty,1995,Comedy,Comedy,Comedy,1
175,Kids (1995),Kids,1995,Drama,Drama,Drama,1
176,Living in Oblivion (1995),Living in Oblivion,1995,Comedy,Comedy,Comedy,1
177,Lord of Illusions (1995),Lord of Illusions,1995,Horror,Horror,Horror,1
178,Love & Human Remains (1993),Love & Human Remains,1993,Comedy|Drama,Comedy Drama,Comedy,2
179,Mad Love (1995),Mad Love,1995,Drama|Romance,Drama Romance,Drama,2
180,Mallrats (1995),Mallrats,1995,Comedy|Romance,Comedy Romance,Comedy,2
181,Mighty Morphin Power Rangers: The Movie (1995),Mighty Morphin Power Rangers: The Movie,1995,Action|Children,Action Children,Action,2
182,Moonlight and Valentino (1995),Moonlight and Valentino,1995,Drama|Romance,Drama Romance,Drama,2
183,Mute Witness (1994),Mute Witness,1994,Comedy|Horror|Thriller,Comedy Horror Thriller,Comedy,3
184,Nadja (1994),Nadja,1994,Drama,Drama,Drama,1
185,"Net, The (1995)","Net, The",1995,Action|Crime|Thriller,Action Crime Thriller,Action,3
186,Nine Months (1995),Nine Months,1995,Comedy|Romance,Comedy Romance,Comedy,2
187,Party Girl (1995),Party Girl,1995,Comedy,Comedy,Comedy,1
188,"Prophecy, The (1995)","Prophecy, The",1995,Fantasy|Horror|Mystery,Fantasy Horror Mystery,Fantasy,3
189,Reckless (1995),Reckless,1995,Comedy|Fantasy,Comedy Fantasy,Comedy,2
190,Safe (1995),Safe,1995,Thriller,Thriller,Thriller,1
191,"Scarlet Letter, The (1995)","Scarlet Letter, The",1995,Drama|Romance,Drama Romance,Drama,2
192,The Show (1995),The Show,1995,Documentary,Documentary,Documentary,1
193,Showgirls (1995),Showgirls,1995,Drama,Drama,Drama,1
194,Smoke (1995),Smoke,1995,Comedy|Drama,Comedy Drama,Comedy,2
195,Something to Talk About (1995),Something to Talk About,1995,Comedy|Drama|Romance,Comedy Drama Romance,Comedy,3
196,Species (1995),Species,1995,Horror|Sci-Fi,Horror Sci-Fi,Horror,2
197,"Stars Fell on Henrietta, The (1995)","Stars Fell on Henrietta, The",1995,Drama,Drama,Drama,1
198,Strange Days (1995),Strange Days,1995,Action|Crime|Drama|Mystery|Sci-Fi|Thriller,Action Crime Drama Mystery Sci-Fi Thriller,Action,6
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)","Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)",1964,Drama|Musical|Romance,Drama Musical Romance,Drama,3
200,"Tie That Binds, The (1995)","Tie That Binds, The",1995,Thriller,Thriller,Thriller,1
201,Three Wishes (1995),Three Wishes,1995,Drama|Fantasy,Drama Fantasy,Drama,2
202,Total Eclipse (1995),Total Eclipse,1995,Drama|Romance,Drama Romance,Drama,2
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)","To Wong Foo, Thanks for Everything! Julie Newmar",1995,Comedy,Comedy,Comedy,1
204,Under Siege 2: Dark Territory (1995),Under Siege 2: Dark Territory,1995,Action,Action,Action,1
205,Unstrung Heroes (1995),Unstrung Heroes,1995,Comedy|Drama,Comedy Drama,Comedy,2
206,Unzipped (1995),Unzipped,1995,Documentary,Documentary,Documentary,1
207,"Walk in the Clouds, A (1995)","Walk in the Clouds, A",1995,Drama|Romance,Drama Romance,Drama,2
208,Waterworld (1995),Waterworld,1995,Action|Adventure|Sci-Fi,Action Adventure Sci-Fi,Action,3
209,White Man's Burden (1995),White Man's Burden,1995,Drama,Drama,Drama,1
210,Wild Bill (1995),Wild Bill,1995,Western,Western,Western,1
211,"Browning Version, The (1994)","Browning Version, The",1994,Drama,Drama,Drama,1
212,Bushwhacked (1995),Bushwhacked,1995,Adventure|Comedy|Crime|Mystery,Adventure Comedy Crime Mystery,Adventure,4
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),Burnt by the Sun (Utomlyonnye solntsem),1994,Drama,Drama,Drama,1
214,Before the Rain (Pred dozhdot) (1994),Before the Rain (Pred dozhdot),1994,Drama|War,Drama War,Drama,2
215,Before Sunrise (1995),Before Sunrise,1995,Drama|Romance,Drama Romance,Drama,2
216,Billy Madison (1995),Billy Madison,1995,Comedy,Comedy,Comedy,1
217,"Babysitter, The (1995)","Babysitter, The",1995,Drama|Thriller,Drama Thriller,Drama,2
218,Boys on the Side (1995),Boys on the Side,1995,Comedy|Drama,Comedy Drama,Comedy,2
219,"Cure, The (1995)","Cure, The",1995,Drama,Drama,Drama,1
220,Castle Freak (1995),Castle Freak,1995,Horror,Horror,Horror,1
222,Circle of Friends (1995),Circle of Friends,1995,Drama|Romance,Drama Romance,Drama,2
223,Clerks (1994),Clerks,1994,Comedy,Comedy,Comedy,1
224,Don Juan DeMarco (1995),Don Juan DeMarco,1995,Comedy|Drama|Romance,Comedy Drama Romance,Comedy,3
225,Disclosure (1994),Disclosure,1994,Drama|Thriller,Drama Thriller,Drama,2
226,Dream Man (1995),Dream Man,1995,Thriller,Thriller,Thriller,1
227,Drop Zone (1994),Drop Zone,1994,Action|Thriller,Action Thriller,Action,2
228,Destiny Turns on the Radio (1995),Destiny Turns on the Radio,1995,Comedy,Comedy,Comedy,1
229,Death and the Maiden (1994),Death and the Maiden,1994,Drama|Thriller,Drama Thriller,Drama,2
230,Dolores Claiborne (1995),Dolores Claiborne,1995,Drama|Thriller,Drama Thriller,Drama,2
231,Dumb & Dumber (Dumb and Dumber) (1994),Dumb & Dumber (Dumb and Dumber),1994,Adventure|Comedy,Adventure Comedy,Adventure,2
232,Eat Drink Man Woman (Yin shi nan nu) (1994),Eat Drink Man Woman (Yin shi nan nu),1994,Comedy|Drama|Romance,Comedy Drama Romance,Comedy,3
233,Exotica (1994),Exotica,1994,Drama,Drama,Drama,1
234,Exit to Eden (1994),Exit to Eden,1994,Comedy,Comedy,Comedy,1
235,Ed Wood (1994),Ed Wood,1994,Comedy|Drama,Comedy Drama,Comedy,2
236,French Kiss (1995),French Kiss,1995,Action|Comedy|Romance,Action Comedy Romance,Action,3
237,Forget Paris (1995),Forget Paris,1995,Comedy|Romance,Comedy Romance,Comedy,2
238,Far From Home: The Adventures of Yellow Dog (1995),Far From Home: The Adventures of Yellow Dog,1995,Adventure|Children,Adventure Children,Adventure,2
239,"Goofy Movie, A (1995)","Goofy Movie, A",1995,Animation|Children|Comedy|Romance,Animation Children Comedy Romance,Animation,4
240,Hideaway (1995),Hideaway,1995,Thriller,Thriller,Thriller,1
241,Fluke (1995),Fluke,1995,Children|Drama,Children Drama,Children,2
242,Farinelli: il castrato (1994),Farinelli: il castrato,1994,Drama|Musical,Drama Musical,Drama,2
243,Gordy (1995),Gordy,1995,Children|Comedy|Fantasy,Children Comedy Fantasy,Children,3
244,Gumby: The Movie (1995),Gumby: The Movie,1995,Animation|Children,Animation Children,Animation,2
245,The Glass Shield (1994),The Glass Shield,1994,Crime|Drama,Crime Drama,Crime,2
246,Hoop Dreams (1994),Hoop Dreams,1994,Documentary,Documentary,Documentary,1
247,Heavenly Creatures (1994),Heavenly Creatures,1994,Crime|Drama,Crime Drama,Crime,2
248,Houseguest (1994),Houseguest,1994,Comedy,Comedy,Comedy,1
249,Immortal Beloved (1994),Immortal Beloved,1994,Drama|Romance,Drama Romance,Drama,2
250,Heavyweights (Heavy Weights) (1995),Heavyweights (Heavy Weights),1995,Children|Comedy,Children Comedy,Children,2
251,"Hunted, The (1995)","Hunted, The",1995,Action,Action,Action,1
252,I.Q. (1994),I.Q.,1994,Comedy|Romance,Comedy Romance,Comedy,2
253,Interview with the Vampire: The Vampire Chronicles (1994),Interview with the Vampire: The Vampire Chronicles,1994,Drama|Horror,Drama Horror,Drama,2
254,Jefferson in Paris (1995),Jefferson in Paris,1995,Drama,Drama,Drama,1
255,"Jerky Boys, The (1995)","Jerky Boys, The",1995,Comedy,Comedy,Comedy,1
256,Junior (1994),Junior,1994,Comedy|Sci-Fi,Comedy Sci-Fi,Comedy,2
257,Just Cause (1995),Just Cause,1995,Mystery|Thriller,Mystery Thriller,Mystery,2
258,"Kid in King Arthur's Court, A (1995)","Kid in King Arthur's Court, A",1995,Adventure|Children|Comedy|Fantasy|Romance,Adventure Children Comedy Fantasy Romance,Adventure,5
259,Kiss of Death (1995),Kiss of Death,1995,Crime|Drama|Thriller,Crime Drama Thriller,Crime,3
260,Star Wars: Episode IV - A New Hope (1977),Star Wars: Episode IV - A New Hope,1977,Action|Adventure|Sci-Fi,Action Adventure Sci-Fi,Action,3
261,Little Women (1994),Little Women,1994,Drama,Drama,Drama,1
262,"Little Princess, A (1995)","Little Princess, A",1995,Children|Drama,Children Drama,Children,2
263,Ladybird Ladybird (1994),Ladybird Ladybird,1994,Drama,Drama,Drama,1
264,"Enfer, L' (1994)","Enfer, L'",1994,Drama,Drama,Drama,1
265,Like Water for Chocolate (Como agua para chocolate) (1992),Like Water for Chocolate (Como agua para chocolate),1992,Drama|Fantasy|Romance,Drama Fantasy Romance,Drama,3
266,Legends of the Fall (1994),Legends of the Fall,1994,Drama|Romance|War|Western,Drama Romance War Western,Drama,4
267,Major Payne (1995),Major Payne,1995,Comedy,Comedy,Comedy,1
268,Little Odessa (1994),Little Odessa,1994,Crime|Drama,Crime Drama,Crime,2
269,My Crazy Life (Mi vida loca) (1993),My Crazy Life (Mi vida loca),1993,Drama,Drama,Drama,1
270,Love Affair (1994),Love Affair,1994,Drama|Romance,Drama Romance,Drama,2
271,Losing Isaiah (1995),Losing Isaiah,1995,Drama,Drama,Drama,1
272,"Madness of King George, The (1994)","Madness of King George, The",1994,Comedy|Drama,Comedy Drama,Comedy,2
273,Mary Shelley's Frankenstein (Frankenstein) (1994),Mary Shelley's Frankenstein (Frankenstein),1994,Drama|Horror|Sci-Fi,Drama Horror Sci-Fi,Drama,3
274,Man of the House (1995),Man of the House,1995,Comedy,Comedy,Comedy,1
275,Mixed Nuts (1994),Mixed Nuts,1994,Comedy,Comedy,Comedy,1
276,Milk Money (1994),Milk Money,1994,Comedy|Romance,Comedy Romance,Comedy,2
